ISO_2,ISO_3,Country,Year,Final Rank,Final Score,Corporate Rank,Corporate Score,Income Rank,Income Score,Consumption Rank,Consumption Score,Property Rank,Property Score,Cross-Border Rank,Cross-Border Score,
EE,EST,Estonia,2014,1,100,1,100,2,96.87704347,12,67.00437238,1,100,13,75.24753695,
EE,EST,Estonia,2015,1,100,1,100,2,97.41932967,14,68.10014315,1,100,12,76.11879796,
EE,EST,Estonia,2016,1,100,1,100,4,97.93817312,13,64.19998562,1,100,12,77.881665,
EE,EST,Estonia,2017,1,100,1,100,2,98.32837491,12,72.08984894,1,100,6,84.12291325,
EE,EST,Estonia,2018,1,100,1,100,2,97.83545421,13,64.93351458,1,100,6,83.93379159,
EE,EST,Estonia,2019,1,100,2,98.67886592,3,94.64557834,13,64.09405992,1,100,14,81.075795,
EE,EST,Estonia,2020,1,100,2,98.55060881,3,94.66569785,14,64.75798095,1,100,14,80.85859721,
EE,EST,Estonia,2021,1,100,2,98.48503573,1,100,13,64.36233648,1,100,13,81.88459894,
EE,EST,Estonia,2022,1,100,2,98.54798318,1,100,15,59.85767249,1,100,13,82.170929,
EE,EST,Estonia,2023,1,100,2,98.68969451,1,100,12,67.31658946,1,100,13,81.65352704,
EE,EST,Estonia,2024,1,100,2,98.68359856,2,99.32394944,18,59.55177015,1,100,9,82.51391786,Baseline
,,,,,,,,,,,,,,,,
EE,EST,Estonia,2025,1,100,2,98.68359856,2,99.32394944,21,53.59934045,1,100,9,82.51391787,VAT rate from 22 to 24 percent
EE,EST,Estonia,2026,1,100,2,94.62424686,2,97.48563513,21,53.59934045,1,100,9,82.51391787,(+) PIT and CIT rate from 20 to 22 percent; same for CGT rate
EE,EST,Estonia,2026,1,100,2,93.30207721,2,97.48563513,21,53.59934045,1,100,9,82.51391787,(+) 2 percent top-up CIT rate is an alternative rate
EE,EST,Estonia,2026,1,100,2,92.49942339,2,97.48563513,21,53.59934045,1,100,9,82.51391787,(+) Top-up rate does not feature carryovers; regular accounting rules for depreciation
